Id,durationOfStay,gender,Age,kids,destinationCode,AcomType
1010286,7,F,40,0,SE,Apt
1000152,5,M,,0,,Apt
1009019,4,F,39,1,ES,Hotel
1007840,5,F,45,0,NL,Hotel
1006939,5,M,45,1,UK,Hotel
1008812,7,F,47,1,IT,Apt
1013918,3,F,53,0,NL,Hotel
1005722,2,F,47,0,FI,Hotel
1003006,3,M,39,1,SE,Apt
1006149,5,F,31,,FI,Apt
1006725,4,M,34,1,DK,Apt
1006502,9,F,44,,ES,Apt
1005977,7,M,37,1,SE,Apt
1009503,4,F,38,1,BE,Hotel
1012980,5,M,27,1,BE,Hotel
1000476,4,F,48,0,,Hotel
1011405,3,M,,1,,Hotel
1001282,4,M,47,1,SE,Apt
1003012,3,F,39,1,BE,Apt
1005786,2,F,41,,SE,Hotel
1012851,3,F,33,0,SE,Apt
1000135,4,M,43,1,ES,Hotel
1004671,2,F,42,1,DK,Hotel
1000175,3,M,,1,,Hotel
1005353,4,F,40,1,SE,Hotel
1004610,4,M,43,0,,Apt
1012677,2,M,32,0,SE,Hotel
1004462,8,M,39,,DK,Apt
1008547,9,M,,,IT,Hotel
1003383,5,F,34,0,FI,Hotel
1002540,3,F,38,0,IT,Apt
1007511,3,M,,1,ES,Apt
1006294,3,F,47,0,DK,Hotel
1003040,3,F,45,0,,Hotel
1008031,5,F,39,1,FI,Hotel
1013748,3,F,45,1,UK,Apt
1003442,5,F,43,1,ES,Apt
1000683,2,M,,1,NL,Apt
1001030,8,F,,0,FI,Hotel
1003803,4,M,45,1,ES,Hotel
1004800,6,F,32,0,NL,Hotel
1013249,4,F,50,0,DK,Hotel
1011619,3,M,37,0,IT,Hotel
1001015,6,M,39,1,IT,Apt
1002342,2,M,37,1,UK,Apt
1001314,4,F,42,1,ES,Apt
1012730,3,F,47,1,UK,Apt
1009419,5,F,40,0,BE,Apt
1004611,2,M,44,0,IT,Apt
1004577,4,F,39,0,IT,Apt
1001562,4,F,34,1,SE,Hotel
1006873,7,M,48,0,BE,Apt
1004197,7,F,38,1,NL,Hotel
1013131,4,M,37,1,UK,Apt
1000109,8,M,40,0,IT,Hotel
1002671,4,F,39,0,ES,Apt
1011206,5,F,46,0,NL,Hotel
1001431,6,F,44,1,BE,Apt
1010813,5,M,42,0,BE,Hotel
1004861,2,M,40,,UK,Hotel
1014022,5,M,37,0,BE,Hotel
1005777,7,M,,0,ES,Apt
1012376,3,M,37,,SE,Hotel
1004326,2,M,44,1,ES,Apt
1006136,1,F,41,1,,Apt
1012555,5,F,46,1,NL,Apt
1003470,2,F,42,0,IT,Hotel
1000757,5,F,42,0,SE,Hotel
1003078,3,F,40,1,FI,Hotel
1004602,5,F,42,0,ES,Hotel
1001036,4,F,41,1,FI,Apt
1006821,5,F,36,1,UK,Hotel
1005220,1,F,40,1,BE,Hotel
1008258,4,F,45,1,,Apt
1008568,3,F,39,1,BE,Hotel
1002362,3,M,42,1,SE,Hotel
1004141,3,M,46,,ES,Hotel
1000293,7,M,41,1,NL,Hotel
1013773,1,M,41,1,UK,Hotel
1008118,4,F,38,0,,Hotel
1004989,3,F,44,0,UK,Apt
1012400,3,F,33,0,DK,Hotel
1002107,5,M,,0,SE,Apt
1010704,7,M,45,0,,Apt
1006485,5,F,44,0,DK,Hotel
1006710,4,M,39,1,SE,Apt
1009330,4,F,45,0,IT,Hotel
1005133,5,F,54,0,ES,Hotel
1002416,5,F,44,0,ES,Hotel
1004426,4,F,,0,,Hotel
1003975,5,F,47,0,BE,Hotel
1012469,3,M,40,1,,Hotel
1002266,4,F,40,1,IT,Hotel
1010413,6,M,36,0,NL,Hotel
1007062,2,M,33,0,DK,Hotel
1008254,4,F,,1,DK,Apt
1011092,3,F,31,1,IT,Hotel
1012013,1,F,29,1,ES,Hotel
